%IDData,%IDUnidade,%IDMunicipio,%IDExame,Qtde. Vendas,Vlr. Vendas,Vlr. Unit. Vendas
01/01/2019,54,3144805,13,1,20.48,20.48
01/01/2019,54,3144805,13,14,150.08,10.72
01/01/2019,54,3144805,15,1,13.87,13.87
01/01/2019,54,3144805,25,74,888,12.
01/01/2019,54,3144805,25,112,1008,9.
01/01/2019,54,3144805,25,124,3622.04,29.21
01/01/2019,54,3144805,46,1,477.15,477.15
01/01/2019,54,3144805,50,3,33.72,11.24
01/01/2019,54,3144805,55,1,8.41,8.41
01/01/2019,54,3144805,55,35,374.5,10.7
01/01/2019,54,3144805,56,1,8.24,8.24
01/01/2019,54,3144805,56,3,14.82,4.94
01/01/2019,54,3144805,58,5,175,35.
01/01/2019,54,3144805,59,6,96,16.
01/01/2019,54,3144805,61,1,15.14,15.14
01/01/2019,54,3144805,61,6,64.32,10.72
01/01/2019,54,3144805,62,1,17.21,17.21
01/01/2019,54,3144805,62,5,53.6,10.72
01/01/2019,54,3144805,64,1,10.07,10.07
01/01/2019,54,3144805,64,7,27.3,3.9
01/01/2019,54,3144805,68,2,23.36,11.68
01/01/2019,54,3144805,68,67,522.6,7.8
01/01/2019,54,3144805,72,7,183.54,26.22
01/01/2019,54,3144805,73,3,32.16,10.72
01/01/2019,54,3144805,74,2,21.44,10.72
01/01/2019,54,3144805,76,1,17.91,17.91
01/01/2019,54,3144805,93,2,307.88,153.94
01/01/2019,54,3144805,95,1,439.84,439.84
01/01/2019,54,3144805,96,2,879.68,439.84
01/01/2019,54,3144805,100,47,266.96,5.68
01/01/2019,54,3144805,102,1,72.99,72.99
01/01/2019,54,3144805,112,1,471,471.
01/01/2019,54,3144805,114,2,24.8,12.4
01/01/2019,54,3144805,119,54,176.04,3.26
01/01/2019,54,3144805,130,5,101.75,20.35
01/01/2019,54,3144805,137,4,24.4,6.1
01/01/2019,54,3144805,137,43,94.6,2.2
01/01/2019,54,3144805,157,14,312.76,22.34
01/01/2019,54,3144805,166,2,8.8,4.4
01/01/2019,54,3144805,172,2,12.48,6.24
01/01/2019,54,3144805,172,6,21.42,3.57
01/01/2019,54,3144805,175,1,12.15,12.15
01/01/2019,54,3144805,180,112,1177.12,10.51
01/01/2019,54,3144805,194,3,15.66,5.22
01/01/2019,54,3144805,202,1,133,133.
01/01/2019,53,3144805,210,1,45.83,45.83
01/01/2019,54,3144805,210,1,45.83,45.83
01/01/2019,54,3144805,210,19,359.1,18.9
01/01/2019,54,3144805,214,1,11.85,11.85
01/01/2019,54,3144805,214,11,104.72,9.52
01/01/2019,54,3144805,227,1,22.92,22.92
01/01/2019,54,3144805,227,13,105.3,8.1
01/01/2019,54,3144805,254,1,176.67,176.67
01/01/2019,54,3144805,254,2,94,47.
01/01/2019,54,3144805,257,2,366.56,183.28
01/01/2019,54,3144805,262,3,78.66,26.22
01/01/2019,54,3144805,270,11,87.89,7.99
01/01/2019,54,3144805,270,114,532.38,4.67
01/01/2019,54,3144805,270,1396,2931.6,2.1
01/01/2019,54,3144805,278,3,110.76,36.92
01/01/2019,54,3144805,279,14,43.4,3.1
01/01/2019,54,3144805,279,15,94.5,6.3
01/01/2019,54,3144805,279,60,606,10.1
01/01/2019,54,3144805,289,3,39,13.
01/01/2019,54,3144805,289,6,34.2,5.7
01/01/2019,54,3144805,311,27,482.49,17.87
01/01/2019,54,3144805,322,2,180,90.
01/01/2019,54,3144805,327,2,8.66,4.33
01/01/2019,54,3144805,339,15,1339.8,89.32
01/01/2019,54,3144805,348,1,22.77,22.77
01/01/2019,54,3144805,375,3,4.35,1.45
01/01/2019,54,3144805,377,2,8.2,4.1
01/01/2019,54,3144805,392,1,41.33,41.33
01/01/2019,54,3144805,420,2,10.52,5.26
01/01/2019,54,3144805,420,72,388.8,5.4
01/01/2019,54,3144805,438,2,10.52,5.26
01/01/2019,54,3144805,438,68,367.2,5.4
01/01/2019,54,3144805,456,8,26.4,3.3
01/01/2019,54,3144805,460,5,15.5,3.1
01/01/2019,54,3144805,460,341,716.1,2.1
01/01/2019,54,3144805,461,1,3.1,3.1
01/01/2019,54,3144805,462,1,19.29,19.29
01/01/2019,54,3144805,462,34,302.6,8.9
01/01/2019,54,3144805,463,2,21.44,10.72
01/01/2019,54,3144805,464,22,204.6,9.3
01/01/2019,54,3144805,468,3,67.89,22.63
01/01/2019,54,3144805,479,1,630,630.
01/01/2019,54,3144805,483,15,362.4,24.16
01/01/2019,54,3144805,495,1,12.84,12.84
01/01/2019,54,3144805,495,29,324.51,11.19
01/01/2019,54,3144805,499,5,77.4,15.48
01/01/2019,54,3144805,500,1,11.68,11.68
01/01/2019,54,3144805,500,50,390,7.8
01/01/2019,54,3144805,501,1,11.68,11.68
01/01/2019,54,3144805,501,47,366.6,7.8
01/01/2019,54,3144805,508,6,1440,240.
01/01/2019,54,3144805,514,1,88.47,88.47
01/01/2019,53,3144805,516,1,20.55,20.55
01/01/2019,54,3144805,516,2,21.44,10.72
01/01/2019,53,3144805,517,1,27.77,27.77
01/01/2019,54,3144805,517,2,21.44,10.72
01/01/2019,54,3144805,521,1,16.66,16.66
01/01/2019,54,3144805,529,1,14.02,14.02
01/01/2019,54,3144805,529,23,285.2,12.4
01/01/2019,54,3144805,531,1,54.57,54.57
01/01/2019,54,3144805,531,73,4182.9,57.3
01/01/2019,54,3144805,533,5,397.65,79.53
01/01/2019,54,3144805,544,56,285.6,5.1
01/01/2019,54,3144805,551,1,11.1,11.1
01/01/2019,54,3144805,551,9,39.87,4.43
01/01/2019,54,3144805,569,1,24.85,24.85
01/01/2019,54,3144805,570,1,24.12,24.12
01/01/2019,54,3144805,605,1,8.75,8.75
01/01/2019,54,3144805,606,45,439.2,9.76
01/01/2019,54,3144805,608,21,63,3.
01/01/2019,54,3144805,631,3,18.78,6.26
01/01/2019,54,3144805,631,143,1022.45,7.15
01/01/2019,54,3144805,633,3,22.29,7.43
01/01/2019,54,3144805,633,141,1212.6,8.6
01/01/2019,54,3144805,640,2,268,134.
01/01/2019,54,3144805,653,1,5.95,5.95
01/01/2019,54,3144805,653,17,101.15,5.95
01/01/2019,54,3144805,657,12,84.24,7.02
01/01/2019,54,3144805,659,1,7.02,7.02
01/01/2019,54,3144805,660,15,264.6,17.64
01/01/2019,54,3144805,683,1,11.89,11.89
01/01/2019,54,3144805,683,2,12,6.
01/01/2019,54,3144805,683,35,276.5,7.9
01/01/2019,54,3144805,687,1,7.77,7.77
01/01/2019,54,3144805,700,1,390,390.
01/01/2019,54,3144805,707,4,17.76,4.44
01/01/2019,54,3144805,719,1,8.83,8.83
01/01/2019,54,3144805,722,104,312,3.
01/01/2019,54,3144805,743,4,100,25.
01/01/2019,54,3144805,751,9,261,29.
01/01/2019,54,3144805,764,7,95.9,13.7
