"%IDData";"%IDUnidade";"%IDMunicipio";"%IDExame";"Qtde. Vendas";"Vlr. Vendas";"Vlr. Unit. Vendas"
01/01/2019;"51";"3106705";"11";1;32.9;32.9
01/01/2019;"54";"3106200";"13";1;7.46;7.46
01/01/2019;"59";"3106200";"13";1;9.64;9.64
01/01/2019;"58";"3106200";"13";1;10.94;10.94
01/01/2019;"52";"3106200";"13";1;11;11
01/01/2019;"59";"3106200";"13";1;14.72;14.72
01/01/2019;"58";"3170107";"13";1;15.36;15.36
01/01/2019;"50";"3106200";"13";1;20.48;20.48
01/01/2019;"54";"3144805";"13";1;20.48;20.48
01/01/2019;"53";"3106200";"13";2;23.44;11.72
01/01/2019;"56";"3106200";"13";2;24;12
01/01/2019;"54";"3106200";"13";3;22.38;7.46
01/01/2019;"51";"3106705";"13";3;22.95;7.65
01/01/2019;"56";"3170107";"13";4;28.8;7.2
01/01/2019;"57";"3106200";"13";4;36.52;9.13
01/01/2019;"50";"3106200";"13";5;62.3;12.46
01/01/2019;"53";"3106200";"13";7;75.04;10.72
01/01/2019;"52";"3106200";"13";8;71.84;8.98
01/01/2019;"55";"3170107";"13";13;203.58;15.66
01/01/2019;"54";"3144805";"13";14;150.08;10.72
01/01/2019;"58";"3106705";"13";15;153;10.2
01/01/2019;"58";"3106200";"13";37;111;3
01/01/2019;"51";"3106200";"13";42;562.8;13.4
01/01/2019;"54";"3106200";"13";50;690;13.8
01/01/2019;"55";"3106200";"13";60;395.4;6.59
01/01/2019;"54";"3144805";"15";1;13.87;13.87
01/01/2019;"51";"3106705";"15";1;13.87;13.87
01/01/2019;"58";"3170107";"15";2;27.74;13.87
01/01/2019;"59";"3106200";"15";4;33.08;8.27
01/01/2019;"58";"3106705";"15";10;76.5;7.65
01/01/2019;"58";"3106200";"15";14;103.6;7.4
01/01/2019;"56";"3170107";"15";21;291.27;13.87
01/01/2019;"53";"3106200";"15";237;1208.7;5.1
01/01/2019;"51";"3106200";"16";2;366.76;183.38
01/01/2019;"52";"3106200";"23";1;32.03;32.03
01/01/2019;"53";"3157807";"25";1;20;20
01/01/2019;"51";"3106200";"25";1;53.51;53.51
01/01/2019;"59";"3118601";"25";1;53.51;53.51
01/01/2019;"56";"3157807";"25";1;53.51;53.51
01/01/2019;"51";"3106200";"25";2;21.8;10.9
01/01/2019;"57";"3106200";"25";2;60;30
01/01/2019;"51";"3106200";"25";2;99.76;49.88
01/01/2019;"51";"3106200";"25";3;82.23;27.41
01/01/2019;"53";"3118601";"25";4;38.8;9.7
01/01/2019;"58";"3106705";"25";4;39.44;9.86
01/01/2019;"56";"3106200";"25";6;96;16
01/01/2019;"59";"3106200";"25";6;321.06;53.51
01/01/2019;"59";"3106200";"25";10;277.5;27.75
01/01/2019;"56";"3106200";"25";16;243.84;15.24
01/01/2019;"53";"3106705";"25";18;127.8;7.1
01/01/2019;"54";"3106200";"25";19;600.21;31.59
01/01/2019;"55";"3106200";"25";22;330;15
01/01/2019;"56";"3106200";"25";29;983.97;33.93
01/01/2019;"58";"3106200";"25";35;227.5;6.5
01/01/2019;"52";"3106200";"25";41;1148;28
01/01/2019;"58";"3170107";"25";42;789.6;18.8
01/01/2019;"58";"3106200";"25";44;1950.08;44.32
01/01/2019;"57";"3106200";"25";51;816;16
01/01/2019;"53";"3106200";"25";53;1100.28;20.76
01/01/2019;"58";"3106200";"25";60;1027.2;17.12
01/01/2019;"54";"3144805";"25";74;888;12
01/01/2019;"56";"3106200";"25";74;1134.42;15.33
01/01/2019;"54";"3106200";"25";106;848;8
01/01/2019;"54";"3144805";"25";112;1008;9
01/01/2019;"50";"3106200";"25";114;2039.46;17.89
01/01/2019;"54";"3144805";"25";124;3622.04;29.21
01/01/2019;"54";"3106200";"25";129;2838;22
01/01/2019;"51";"3106705";"25";168;3192;19
01/01/2019;"59";"3106200";"25";517;4466.88;8.64
01/01/2019;"52";"3106200";"25";638;9187.2;14.4
01/01/2019;"55";"3106200";"25";740;6660;9
01/01/2019;"50";"3106200";"25";963;9993.7;10.38
01/01/2019;"50";"3106200";"25";2472;20270.4;8.2
01/01/2019;"52";"3106200";"41";1;3.35;3.35
01/01/2019;"52";"3106200";"41";1;3.43;3.43
01/01/2019;"50";"3106200";"41";1;3.6;3.6
01/01/2019;"52";"3106200";"41";1;3.76;3.76
01/01/2019;"53";"3106200";"41";1;5.5;5.5
01/01/2019;"55";"3106200";"41";1;9.59;9.59
01/01/2019;"56";"3106200";"41";2;8.64;4.32
01/01/2019;"56";"3170107";"41";2;10.48;5.24
01/01/2019;"59";"3106200";"41";3;9.36;3.12
01/01/2019;"58";"3106200";"41";18;61.2;3.4
01/01/2019;"58";"3106200";"41";26;43.94;1.69
01/01/2019;"51";"3106705";"41";40;158;3.95
01/01/2019;"56";"3106200";"41";59;255.47;4.33
01/01/2019;"51";"3106200";"41";62;295.74;4.77
01/01/2019;"54";"3106200";"41";69;227.7;3.3
01/01/2019;"54";"3170107";"41";122;710.04;5.82
01/01/2019;"51";"3106200";"41";127;685.8;5.4
01/01/2019;"58";"3106705";"41";238;642.6;2.7
01/01/2019;"50";"3106200";"41";338;1385.8;4.1
01/01/2019;"55";"3106200";"41";408;1060.8;2.6
01/01/2019;"52";"3106200";"44";1;3.43;3.43
01/01/2019;"52";"3106200";"44";1;3.59;3.59
01/01/2019;"50";"3106200";"44";1;3.6;3.6
01/01/2019;"52";"3106200";"44";1;3.76;3.76
01/01/2019;"53";"3106200";"44";1;5.5;5.5
01/01/2019;"56";"3106200";"44";2;8.64;4.32
01/01/2019;"56";"3170107";"44";2;9.64;4.82
01/01/2019;"55";"3106200";"44";2;19.6;9.8
01/01/2019;"59";"3106200";"44";3;9.36;3.12
01/01/2019;"58";"3106200";"44";22;74.8;3.4
01/01/2019;"58";"3106200";"44";26;44.2;1.7
01/01/2019;"51";"3106705";"44";40;158;3.95
01/01/2019;"54";"3106200";"44";58;178.64;3.08
01/01/2019;"56";"3106200";"44";58;182.7;3.15
01/01/2019;"51";"3106200";"44";62;295.74;4.77
01/01/2019;"51";"3106200";"44";120;600;5
01/01/2019;"54";"3170107";"44";129;793.35;6.15
01/01/2019;"58";"3106705";"44";261;704.7;2.7
01/01/2019;"50";"3106200";"44";333;1338.66;4.02
01/01/2019;"55";"3106200";"44";374;972.4;2.6
01/01/2019;"54";"3144805";"46";1;477.15;477.15
01/01/2019;"51";"3106200";"49";1;19.46;19.46
01/01/2019;"58";"3106705";"49";1;55.58;55.58
01/01/2019;"58";"3106705";"50";1;6.8;6.8
01/01/2019;"52";"3106200";"50";1;12.21;12.21
01/01/2019;"53";"3106200";"50";1;18.79;18.79
01/01/2019;"56";"3106200";"50";1;18.79;18.79
01/01/2019;"56";"3170107";"50";1;18.79;18.79
01/01/2019;"58";"3106200";"50";2;20.08;10.04
01/01/2019;"55";"3106200";"50";2;37.58;18.79
01/01/2019;"54";"3144805";"50";3;33.72;11.24
01/01/2019;"52";"3106200";"50";5;47.15;9.43
01/01/2019;"54";"3106200";"50";5;49.5;9.9
01/01/2019;"58";"3106200";"50";6;80.04;13.34
01/01/2019;"53";"3106200";"50";8;89.92;11.24
01/01/2019;"51";"3106200";"50";11;71.72;6.52
01/01/2019;"55";"3170107";"50";13;395.07;30.39
01/01/2019;"58";"3106200";"52";1;16.53;16.53
01/01/2019;"53";"3106200";"54";1;11.91;11.91
01/01/2019;"51";"3106200";"55";1;4.32;4.32
01/01/2019;"54";"3144805";"55";1;8.41;8.41
